strategy_id,strategy_name,sector_confirmation,pullback_depth_band,extension_band,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,6-10%,4-6%,5,0.005933170544567901,-0.02651311919169108,-0.02279336948208759,-0.01565060785643797,-0.03670902966407823,-0.021502449546979174,0.6,0.4,0.4
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,6-10%,<-2%,11,-0.018871104517555713,0.005826552721028903,0.01575969171296225,-0.0013031163787111464,0.012285397078573427,0.02378958431310947,0.45454545454545453,0.45454545454545453,0.5454545454545454
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,0-3%,-2% to 0%,41,-0.0035228480844562075,-0.011775470128193834,-0.009172237560783982,-0.010641687767601292,-0.021639805136784547,-0.023498454620890945,0.5121951219512195,0.3902439024390244,0.43902439024390244
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,0-3%,0-2%,211,0.002681775246314716,-0.0004644458103051,0.00012550141878791293,0.00232116648910548,-0.0029913104613928337,-0.006696998960187026,0.5260663507109005,0.4976303317535545,0.5071090047393365
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,0-3%,2-4%,113,0.0037681668320155735,0.000372014100683361,0.009537723253054561,0.002074714787263709,-0.004103771358600309,0.0040855885166063794,0.5309734513274337,0.5575221238938053,0.6371681415929203
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,0-3%,4-6%,61,-0.007626968254520483,-0.015010123843181573,-0.008897384110966513,-0.009915352662324343,-0.018024994532273523,-0.016748257054357656,0.45901639344262296,0.39344262295081966,0.45901639344262296
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,10-15%,-2% to 0%,9,-0.038789727908783544,-0.036846322895677824,0.041781131815844724,-0.02921418949139376,-0.03410275491764017,0.03820776295233357,0.2222222222222222,0.2222222222222222,0.6666666666666666
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,10-15%,0-2%,1,-0.0154844652396523,0.0032448596922842743,0.06452801559130972,-0.010854323492361817,0.017267523433196597,0.10443515437992068,0.0,1.0,1.0
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,10-15%,2-4%,1,-0.05038105384319025,-0.1583404549357409,-0.19856055746905021,0.003191641309633897,-0.08339512320265918,-0.12684220605539243,0.0,0.0,0.0
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,10-15%,4-6%,2,0.061209694506155654,0.08254137232329789,0.0014967685335987024,0.03873495040350572,0.04220131657229115,-0.02917406994659122,1.0,0.5,0.5
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,10-15%,<-2%,7,-0.02802661923479131,-0.015734070150437613,-0.020311515529779247,-0.0251002017022463,0.000737245542859255,0.005252243845916604,0.42857142857142855,0.42857142857142855,0.42857142857142855
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,3-6%,-2% to 0%,142,-0.0018016559687812686,-0.0021577901374802678,-0.0024469272180752473,0.0002658550144738606,-0.00013646064391545248,-0.00013267086918368964,0.4788732394366197,0.5070422535211268,0.5140845070422535
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,3-6%,0-2%,197,-2.1116170721524437e-05,0.0027353989075065985,0.007807774568244427,0.0007842657070336186,0.0027916647945761563,0.004163248503712905,0.4720812182741117,0.5431472081218274,0.5431472081218274
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,3-6%,2-4%,128,-0.0008410513754705902,0.001212986868338612,0.01042529365035567,0.00218521950355502,0.0015961836599432191,0.007949259089654388,0.4453125,0.5078125,0.578125
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,3-6%,4-6%,69,-0.00018335619790913038,-0.004155344268481948,0.01063991579121118,-0.0073564708601803275,-0.012221640758493501,-1.211469811994296e-05,0.5072463768115942,0.463768115942029,0.5362318840579711
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,3-6%,<-2%,15,0.005633146083147837,-0.00940469523829505,-0.028112954831639454,0.005176953558981246,-0.006882902290395446,-0.019600867062800155,0.5333333333333333,0.4666666666666667,0.3333333333333333
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,6-10%,-2% to 0%,69,0.0042237034253615425,0.010975633037071842,0.007411420055418405,0.006260128408136798,0.00994147102915167,0.011424127045381625,0.5652173913043478,0.5942028985507246,0.5507246376811594
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,6-10%,0-2%,29,0.02438151532868061,0.03360603077196102,0.042864228955918564,0.017509956393106645,0.020252222418561273,0.019696996097153814,0.7241379310344828,0.6551724137931034,0.6206896551724138
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,6-10%,2-4%,28,0.0003005765986200948,0.014198822530145514,0.02654839784902414,0.0006018861342212452,0.009776466303534225,0.011101012482062748,0.5,0.6071428571428571,0.5714285714285714
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,6-10%,4-6%,27,0.0021329182200014677,0.01994281860252904,0.05215997110084905,-0.0056504082699095695,0.005953448500937432,0.030876523810684352,0.5925925925925926,0.6296296296296297,0.7037037037037037
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unconfirmed,6-10%,<-2%,34,-0.0013456998820124248,0.010126335492047467,0.009611486056083288,0.0013791168559291352,0.022139062264605797,0.012466632453880229,0.5882352941176471,0.5588235294117647,0.5294117647058824
